time (s),Pressure (psi),Rate (bpm)
1392,5655.66,0
1393,5653.97,0
1394,5652.32,0
1395,5650.68,0
1396,5649.03,0
1397,5647.35,0
1398,5645.63,0
1399,5643.95,0
1400,5642.23,0
1401,5640.14,0
1402,5638.59,0
1403,5637.03,0
1404,5635.49,0
1405,5633.96,0
1406,5632.28,0
1407,5630.54,0
1408,5628.84,0
1409,5627.22,0
1410,5625.55,0
1411,5623.83,0
1412,5622.17,0
1413,5620.52,0
1414,5618.86,0
1415,5617.17,0
1416,5615.48,0
1417,5613.8,0
1418,5612.07,0
1419,5610.4,0
1420,5608.75,0
1421,5607.05,0
1422,5604.77,0
1423,5603.12,0
1424,5601.41,0
1425,5599.85,0
1426,5598.26,0
1427,5596.65,0
1428,5594.93,0
1429,5593.38,0
1430,5591.8,0
1431,5590.2,0
1432,5588.63,0
1433,5587.07,0
1434,5585.52,0
1435,5583.97,0
1436,5582.46,0
1437,5580.85,0
1438,5579.34,0
1439,5577.73,0
1440,5576.12,0
1441,5574.52,0
1442,5572.88,0
1443,5571.25,0
1444,5569.15,0
1445,5567.48,0
1446,5565.87,0
1447,5564.26,0
1448,5562.6,0
1449,5560.95,0
1450,5559.4,0
1451,5557.87,0
1452,5556.26,0
1453,5554.62,0
1454,5552.98,0
1455,5551.45,0
1456,5549.94,0
1457,5548.43,0
1458,5546.91,0
1459,5545.36,0
1460,5543.8,0
1461,5542.26,0
1462,5540.67,0
1463,5539.13,0
1464,5537.2,0
1465,5535.71,0
1466,5534.14,0
1467,5532.63,0
1468,5531.06,0
1469,5529.54,0
1470,5528,0
1471,5526.47,0
1472,5524.95,0
1473,5523.42,0
1474,5521.9,0
1475,5520.29,0
1476,5518.76,0
1477,5517.17,0
1478,5515.57,0
1479,5513.94,0
1480,5512.36,0
1481,5510.79,0
1482,5509.22,0
1483,5507.64,0
1484,5506.13,0
1485,5504.14,0
1486,5502.61,0
1487,5501.07,0
1488,5499.53,0
1489,5498.01,0
1490,5496.44,0
1491,5494.89,0
1492,5493.25,0
1493,5491.78,0
1494,5490.36,0
1495,5488.96,0
1496,5487.56,0
1497,5486.19,0
1498,5484.83,0
1499,5483.38,0
1500,5481.96,0
1501,5480.34,0
1502,5478.8,0
1503,5477.34,0
1504,5475.8,0
1505,5474.25,0
1506,5472.21,0
1507,5470.75,0
1508,5469.21,0
1509,5467.73,0
1510,5466.22,0
1511,5464.59,0
1512,5462.96,0
1513,5461.38,0
1514,5459.87,0
1515,5458.42,0
1516,5456.92,0
1517,5455.5,0
1518,5454.03,0
1519,5452.58,0
1520,5451.1,0
1521,5449.56,0
1522,5448.08,0
1523,5446.61,0
1524,5445.16,0
1525,5443.26,0
1526,5441.88,0
1527,5440.5,0
1528,5439.04,0
1529,5437.69,0
1530,5436.37,0
1531,5434.88,0
1532,5433.4,0
1533,5431.94,0
1534,5430.59,0
1535,5429.14,0
1536,5427.68,0
1537,5426.23,0
1538,5424.83,0
1539,5423.51,0
1540,5421.94,0
1541,5420.4,0
1542,5418.97,0
1543,5417.46,0
1544,5415.95,0
1545,5414.48,0
1546,5412.49,0
1547,5411.06,0
1548,5409.62,0
1549,5408.14,0
1550,5406.69,0
1551,5405.14,0
1552,5403.66,0
1553,5402.26,0
1554,5400.87,0
1555,5399.51,0
1556,5398.07,0
1557,5396.63,0
1558,5395.25,0
1559,5393.86,0
1560,5392.47,0
1561,5391.13,0
1562,5389.78,0
1563,5388.45,0
1564,5387.04,0
1565,5385.67,0
1566,5384.37,0
1567,5382.98,0
1568,5380.96,0
1569,5379.62,0
1570,5378.34,0
1571,5376.8,0
1572,5375.34,0
1573,5373.97,0
1574,5372.5,0
1575,5371.04,0
1576,5369.7,0
1577,5368.37,0
1578,5366.91,0
1579,5365.48,0
1580,5364.13,0
1581,5362.69,0
1582,5361.23,0
1583,5359.83,0
1584,5358.4,0
1585,5356.94,0
1586,5355.59,0
1587,5354.27,0
1588,5352.58,0
1589,5351.21,0
1590,5349.89,0
1591,5348.54,0
1592,5347.26,0
1593,5345.96,0
1594,5344.71,0
1595,5343.34,0
1596,5342.06,0
1597,5340.72,0
1598,5339.44,0
1599,5338.18,0
1600,5336.86,0
1601,5335.44,0
1602,5334.05,0
1603,5332.57,0
1604,5331.17,0
1605,5329.78,0
1606,5328.41,0
1607,5327.06,0
1608,5325.65,0
1609,5324.22,0
1610,5322.82,0
1611,5320.96,0
1612,5319.54,0
1613,5318.18,0
1614,5316.82,0
1615,5315.44,0
1616,5314.08,0
1617,5312.78,0
1618,5311.4,0
1619,5310.03,0
1620,5308.7,0
1621,5307.34,0
1622,5305.98,0
1623,5304.73,0
1624,5303.48,0
1625,5302.26,0
1626,5301.04,0
1627,5299.75,0
1628,5298.48,0
1629,5297.19,0
1630,5295.88,0
1631,5294.13,0
1632,5292.85,0
1633,5291.55,0
1634,5290.16,0
1635,5288.79,0
1636,5287.43,0
1637,5286.1,0
1638,5284.73,0
1639,5283.33,0
1640,5281.99,0
1641,5280.62,0
1642,5279.23,0
1643,5277.92,0
1644,5276.57,0
1645,5275.23,0
1646,5273.84,0
1647,5272.47,0
1648,5271.09,0
1649,5269.78,0
1650,5268.42,0
1651,5266.74,0
1652,5265.51,0
1653,5264.34,0
1654,5263.18,0
1655,5261.95,0
1656,5260.71,0
1657,5259.44,0
1658,5258.08,0
1659,5256.77,0
1660,5255.49,0
1661,5254.25,0
1662,5253.03,0
1663,5251.78,0
1664,5250.55,0
1665,5249.26,0
1666,5247.95,0
1667,5246.72,0
1668,5245.41,0
1669,5244.16,0
1670,5242.86,0
1671,5241.07,0
1672,5239.8,0
1673,5238.95,0
1674,5237.17,0
1675,5235.84,0
1676,5234.53,0
1677,5233.18,0
1678,5231.81,0
1679,5230.53,0
1680,5229.16,0
1681,5227.8,0
1682,5226.49,0
1683,5225.29,0
1684,5224.15,0
1685,5223.05,0
1686,5221.76,0
1687,5220.47,0
1688,5219.28,0
1689,5218.02,0
1690,5216.85,0
1691,5215.69,0
1692,5214.48,0
1693,5212.85,0
1694,5211.62,0
1695,5210.32,0
1696,5209.06,0
1697,5207.76,0
1698,5206.46,0
1699,5205.21,0
1700,5203.93,0
1701,5202.6,0
1702,5201.35,0
1703,5200.1,0
1704,5198.85,0
1705,5197.6,0
1706,5196.27,0
1707,5194.92,0
1708,5193.62,0
1709,5192.24,0
1710,5190.92,0
1711,5189.74,0
1712,5188.49,0
1713,5186.83,0
1714,5185.73,0
1715,5184.59,0
1716,5183.45,0
1717,5182.41,0
1718,5181.25,0
1719,5180.05,0
1720,5178.9,0
1721,5177.74,0
1722,5176.63,0
1723,5175.47,0
1724,5174.24,0
1725,5172.99,0
1726,5171.8,0
1727,5170.6,0
1728,5169.38,0
1729,5168.05,0
1730,5166.79,0
1731,5165.5,0
1732,5164.24,0
1733,5163.02,0
1734,5161.78,0
1735,5160.08,0
1736,5158.84,0
1737,5157.69,0
1738,5156.54,0
1739,5155.33,0
1740,5154.11,0
1741,5152.88,0
1742,5151.62,0
1743,5150.3,0
1744,5148.99,0
1745,5147.89,0
1746,5146.82,0
1747,5145.62,0
1748,5144.54,0
1749,5143.35,0
1750,5142.21,0
1751,5141,0
1752,5139.76,0
1753,5138.56,0
1754,5137.4,0
1755,5135.91,0
1756,5134.73,0
1757,5133.53,0
1758,5132.4,0
1759,5131.21,0
1760,5130.01,0
1761,5128.83,0
1762,5127.66,0
1763,5126.49,0
1764,5125.33,0
1765,5124.12,0
1766,5122.95,0
1767,5121.73,0
1768,5120.56,0
1769,5119.31,0
1770,5118.01,0
1771,5116.77,0
1772,5115.58,0
1773,5114.42,0
1774,5113.34,0
1775,5112.18,0
1776,5110.69,0
1777,5109.48,0
1778,5108.33,0
1779,5107.21,0
1780,5105.93,0
1781,5104.77,0
1782,5103.65,0
1783,5102.57,0
1784,5101.48,0
1785,5100.41,0
1786,5099.26,0
1787,5098.07,0
1788,5096.94,0
1789,5095.81,0
1790,5094.73,0
1791,5093.61,0
1792,5092.42,0
1793,5091.22,0
1794,5090.09,0
1795,5088.95,0
1796,5087.8,0
1797,5086.18,0
1798,5084.89,0
1799,5083.64,0
1800,5082.34,0
1801,5081.1,0
1802,5079.86,0
1803,5078.58,0
1804,5077.31,0
1805,5076.11,0
1806,5074.98,0
1807,5073.92,0
1808,5072.88,0
1809,5071.81,0
1810,5070.77,0
1811,5069.71,0
1812,5068.51,0
1813,5067.49,0
1814,5066.44,0
1815,5065.33,0
1816,5064.21,0
1817,5063.13,0
1818,5061.72,0
1819,5060.67,0
1820,5059.56,0
1821,5058.38,0
1822,5057.24,0
1823,5056.12,0
1824,5055.03,0
1825,5053.86,0
1826,5052.67,0
1827,5051.51,0
1828,5050.36,0
1829,5049.19,0
1830,5048.02,0
1831,5046.82,0
1832,5045.6,0
1833,5044.48,0
1834,5043.39,0
1835,5042.29,0
1836,5041.05,0
1837,5039.94,0
1838,5038.37,0
1839,5037.29,0
1840,5036.25,0
1841,5035.06,0
1842,5033.98,0
1843,5032.85,0
1844,5031.79,0
1845,5030.81,0
1846,5029.81,0
1847,5028.77,0
1848,5027.72,0
1849,5026.68,0
1850,5025.6,0
1851,5024.54,0
1852,5023.42,0
1853,5022.31,0
1854,5021.27,0
1855,5020.22,0
1856,5019.16,0
1857,5018.03,0
1858,5016.91,0
1859,5015.84,0
1860,5014.81,0
1861,5013.33,0
1862,5012.12,0
1863,5011,0
1864,5009.87,0
1865,5008.75,0
1866,5007.65,0
1867,5006.57,0
1868,5005.67,0
1869,5004.71,0
1870,5003.67,0
1871,5002.49,0
1872,5001.46,0
1873,5000.32,0
1874,4999.25,0
1875,4998.13,0
1876,4997.02,0
1877,4995.94,0
1878,4994.83,0
1879,4993.79,0
1880,4992.78,0
1881,4991.77,0
1882,4990.72,0
1883,4989.58,0
1884,4988.86,0
1885,4987.77,0
1886,4986.32,0
1887,4985.16,0
1888,4984.09,0
1889,4983.01,0
1890,4981.86,0
1891,4980.73,0
1892,4979.6,0
1893,4978.46,0
1894,4977.34,0
1895,4976.14,0
1896,4975.02,0
1897,4973.96,0
1898,4972.84,0
1899,4971.76,0
1900,4970.71,0
1901,4969.75,0
1902,4968.77,0
1903,4967.67,0
1904,4966.58,0
1905,4965.56,0
1906,4964.54,0
1907,4963.04,0
1908,4961.98,0
1909,4960.99,0
1910,4959.99,0
1911,4959.01,0
1912,4958.06,0
1913,4957.05,0
1914,4956.02,0
1915,4954.96,0
1916,4953.87,0
1917,4952.85,0
1918,4951.84,0
1919,4950.87,0
1920,4949.82,0
1921,4948.77,0
1922,4947.64,0
1923,4946.59,0
1924,4945.52,0
1925,4944.4,0
1926,4943.29,0
1927,4942.16,0
1928,4940.7,0
1929,4939.64,0
1930,4938.59,0
1931,4937.56,0
1932,4936.47,0
1933,4935.57,0
1934,4934.54,0
1935,4933.47,0
1936,4932.81,0
1937,4931.91,0
1938,4930.83,0
1939,4929.84,0
1940,4928.91,0
1941,4927.96,0
1942,4926.92,0
1943,4925.95,0
1944,4924.95,0
1945,4923.94,0
1946,4922.86,0
1947,4921.78,0
1948,4920.76,0
1949,4919.71,0
1950,4918.68,0
1951,4917.69,0
1952,4916.63,0
1953,4915.51,0
1954,4914.44,0
1955,4913.41,0
1956,4912.38,0
1957,4910.97,0
1958,4909.87,0
1959,4908.81,0
1960,4907.75,0
1961,4906.68,0
1962,4905.66,0
1963,4904.58,0
1964,4903.44,0
1965,4902.43,0
1966,4901.37,0
1967,4900.32,0
1968,4899.34,0
1969,4898.28,0
1970,4897.29,0
1971,4896.38,0
1972,4895.46,0
1973,4894.5,0
1974,4893.57,0
1975,4892.69,0
1976,4891.76,0
1977,4890.6,0
1978,4889.63,0
1979,4888.63,0
1980,4887.65,0
1981,4886.67,0
1982,4885.66,0
1983,4884.67,0
1984,4883.72,0
1985,4882.71,0
1986,4881.7,0
1987,4880.66,0
1988,4879.62,0
1989,4878.59,0
1990,4877.58,0
1991,4876.49,0
1992,4875.44,0
1993,4874.39,0
1994,4873.37,0
1995,4872.31,0
1996,4871.42,0
1997,4870.45,0
1998,4869.24,0
1999,4868.2,0
2000,4867.16,0
2001,4866.06,0
2002,4865.1,0
2003,4864.25,0
2004,4863.33,0
2005,4862.46,0
2006,4861.54,0
2007,4860.56,0
2008,4859.63,0
2009,4858.72,0
2010,4857.84,0
2011,4856.9,0
2012,4855.91,0
2013,4854.94,0
2014,4853.95,0
2015,4852.96,0
2016,4851.92,0
2017,4850.89,0
2018,4849.91,0
2019,4848.57,0
2020,4847.91,0
2021,4846.51,0
2022,4845.55,0
2023,4844.55,0
2024,4843.58,0
2025,4842.56,0
2026,4841.56,0
2027,4840.5,0
2028,4839.45,0
2029,4838.57,0
2030,4837.63,0
2031,4836.72,0
2032,4835.71,0
2033,4834.77,0
2034,4833.83,0
2035,4832.91,0
2036,4831.98,0
2037,4831.11,0
2038,4830.24,0
2039,4829.4,0
2040,4828.3,0
2041,4827.42,0
2042,4826.54,0
2043,4825.63,0
2044,4824.72,0
2045,4823.81,0
2046,4822.93,0
2047,4822.01,0
2048,4821.04,0
2049,4820.01,0
2050,4819.01,0
2051,4818.01,0
2052,4817.03,0
2053,4816.07,0
2054,4815.12,0
2055,4814.13,0
2056,4813.09,0
2057,4812,0
2058,4811,0
2059,4810.02,0
2060,4808.75,0
2061,4807.83,0
2062,4807.23,0
2063,4806.07,0
2064,4805.3,0
2065,4804.4,0
2066,4803.49,0
2067,4802.58,0
2068,4801.71,0
2069,4800.82,0
2070,4799.92,0
2071,4799.02,0
2072,4798.11,0
2073,4797.18,0
2074,4796.28,0
2075,4795.43,0
2076,4794.55,0
2077,4793.65,0
2078,4792.71,0
2079,4791.78,0
2080,4790.89,0
2081,4790.02,0
2082,4788.82,0
2083,4787.91,0
2084,4786.95,0
2085,4785.93,0
2086,4784.88,0
2087,4783.89,0
2088,4782.94,0
2089,4782.03,0
2090,4781.14,0
2091,4780.25,0
2092,4779.28,0
2093,4778.28,0
2094,4777.37,0
2095,4776.49,0
2096,4775.6,0
2097,4774.74,0
2098,4773.84,0
2099,4772.97,0
2100,4772.06,0
2101,4771.2,0
2102,4770.14,0
2103,4769.36,0
2104,4768.53,0
2105,4767.67,0
2106,4766.82,0
2107,4765.97,0
2108,4765.14,0
2109,4764.22,0
2110,4763.28,0
2111,4762.38,0
2112,4761.44,0
2113,4760.49,0
2114,4759.57,0
2115,4758.65,0
2116,4757.77,0
2117,4756.86,0
2118,4755.9,0
2119,4754.97,0
2120,4753.99,0
2121,4752.93,0
2122,4751.99,0
2123,4750.78,0
2124,4749.87,0
2125,4748.98,0
2126,4748.08,0
2127,4747.12,0
2128,4746.25,0
2129,4745.32,0
2130,4744.4,0
2131,4743.58,0
2132,4742.8,0
2133,4741.95,0
2134,4741.11,0
2135,4740.34,0
2136,4739.54,0
2137,4738.69,0
2138,4737.82,0
2139,4736.96,0
2140,4736.11,0
2141,4735.24,0
2142,4734.35,0
2143,4733.45,0
2144,4732.28,0
2145,4731.36,0
2146,4730.43,0
2147,4729.48,0
2148,4728.59,0
2149,4727.7,0
2150,4726.76,0
2151,4725.83,0
2152,4724.89,0
2153,4723.93,0
2154,4723.02,0
2155,4722.1,0
2156,4721.2,0
2157,4720.48,0
2158,4719.65,0
2159,4718.72,0
2160,4717.9,0
2161,4717.02,0
2162,4716.24,0
2163,4715.45,0
2164,4714.57,0
2165,4713.43,0
2166,4712.6,0
2167,4711.83,0
2168,4711.02,0
2169,4710.23,0
2170,4709.41,0
2171,4708.54,0
2172,4707.67,0
2173,4706.87,0
2174,4706.08,0
2175,4705.16,0
2176,4704.29,0
2177,4703.45,0
2178,4702.63,0
2179,4701.78,0
2180,4700.89,0
2181,4700.01,0
2182,4699.1,0
2183,4698.21,0
2184,4697.29,0
2185,4696.4,0
2186,4695.53,0
2187,4694.39,0
2188,4693.56,0
2189,4692.84,0
2190,4692,0
2191,4691.12,0
2192,4690.23,0
2193,4689.38,0
2194,4688.51,0
2195,4687.63,0
2196,4686.76,0
2197,4686.01,0
2198,4685.15,0
2199,4684.37,0
2200,4683.56,0
2201,4682.72,0
2202,4681.94,0
2203,4681.17,0
2204,4680.38,0
2205,4679.58,0
2206,4678.79,0
2207,4677.59,0
2208,4676.66,0
2209,4675.73,0
2210,4674.84,0
2211,4673.96,0
2212,4673.12,0
2213,4672.29,0
2214,4671.44,0
2215,4670.59,0
2216,4669.76,0
2217,4668.91,0
2218,4667.98,0
2219,4667.09,0
2220,4666.29,0
2221,4665.46,0
2222,4664.65,0
2223,4663.96,0
2224,4663.18,0
2225,4662.35,0
2226,4661.53,0
2227,4660.73,0
2228,4659.64,0
2229,4659.14,0
2230,4658.09,0
2231,4657.31,0
2232,4656.56,0
2233,4655.72,0
2234,4654.86,0
2235,4654,0
2236,4653.17,0
2237,4652.37,0
2238,4651.53,0
2239,4650.71,0
2240,4649.85,0
2241,4649.01,0
2242,4648.19,0
2243,4647.35,0
2244,4646.44,0
2245,4645.52,0
2246,4644.65,0
2247,4643.79,0
2248,4642.92,0
2249,4641.77,0
2250,4640.93,0
2251,4640.16,0
2252,4639.31,0
2253,4638.45,0
2254,4637.69,0
2255,4636.84,0
2256,4636.1,0
2257,4635.36,0
2258,4634.6,0
2259,4633.88,0
2260,4633.14,0
2261,4632.37,0
2262,4631.6,0
2263,4630.86,0
2264,4630.09,0
2265,4629.35,0
2266,4628.52,0
2267,4627.75,0
2268,4626.97,0
2269,4625.83,0
2270,4625.08,0
2271,4624.21,0
2272,4623.33,0
2273,4622.5,0
2274,4621.65,0
2275,4620.8,0
2276,4619.97,0
2277,4619.09,0
2278,4618.24,0
2279,4617.43,0
2280,4616.63,0
2281,4615.75,0
2282,4614.87,0
2283,4613.98,0
2284,4613.1,0
2285,4612.3,0
2286,4611.56,0
2287,4610.8,0
2288,4610.13,0
2289,4609.48,0
2290,4608.49,0
2291,4607.69,0
2292,4606.94,0
2293,4606.21,0
2294,4605.48,0
2295,4604.75,0
2296,4603.95,0
2297,4603.17,0
2298,4602.35,0
2299,4601.56,0
2300,4600.8,0
2301,4599.98,0
2302,4599.19,0
2303,4598.37,0
2304,4597.62,0
2305,4596.78,0
2306,4595.9,0
2307,4595.05,0
2308,4594.19,0
2309,4593.39,0
2310,4592.61,0
2311,4591.53,0
2312,4590.74,0
2313,4589.93,0
2314,4589.1,0
2315,4588.17,0
2316,4587.3,0
2317,4586.47,0
2318,4585.73,0
2319,4585.09,0
2320,4584.35,0
2321,4583.64,0
2322,4582.88,0
2323,4582.1,0
2324,4581.43,0
2325,4580.81,0
2326,4580.09,0
2327,4579.35,0
2328,4578.63,0
2329,4577.94,0
2330,4577.25,0
2331,4576.23,0
2332,4575.44,0
2333,4574.6,0
2334,4573.82,0
2335,4573.01,0
2336,4572.21,0
2337,4571.43,0
2338,4570.6,0
2339,4569.72,0
2340,4568.87,0
2341,4568.06,0
2342,4567.21,0
2343,4566.4,0
2344,4565.63,0
2345,4564.92,0
2346,4564.17,0
2347,4563.34,0
2348,4562.45,0
2349,4561.57,0
2350,4560.75,0
2351,4560.07,0
2352,4559.44,0
2353,4558.51,0
2354,4557.83,0
2355,4557.19,0
2356,4556.45,0
2357,4555.72,0
2358,4555.01,0
2359,4554.26,0
2360,4553.58,0
2361,4552.91,0
2362,4552.21,0
2363,4551.47,0
2364,4550.75,0
2365,4549.99,0
2366,4549.23,0
2367,4548.45,0
2368,4547.66,0
2369,4546.81,0
2370,4545.97,0
2371,4545.11,0
2372,4544.37,0
2373,4543.59,0
2374,4542.51,0
2375,4541.6,0
2376,4540.76,0
2377,4540.04,0
2378,4539.24,0
2379,4538.44,0
2380,4537.69,0
2381,4536.98,0
2382,4536.16,0
2383,4535.39,0
2384,4534.65,0
2385,4533.95,0
2386,4533.26,0
2387,4532.58,0
2388,4531.92,0
2389,4531.25,0
2390,4530.56,0
2391,4529.87,0
2392,4529.2,0
2393,4528.52,0
2394,4527.53,0
2395,4526.79,0
2396,4526.04,0
2397,4525.33,0
2398,4524.65,0
2399,4523.94,0
2400,4523.19,0
2401,4522.44,0
2402,4521.71,0
2403,4520.9,0
2404,4520.11,0
2405,4519.29,0
2406,4518.5,0
2407,4517.7,0
2408,4516.83,0
2409,4516.08,0
2410,4515.36,0
2411,4514.69,0
2412,4513.88,0
2413,4513.05,0
2414,4512.4,0
2415,4511.73,0
2416,4511.01,0
2417,4510,0
2418,4509.25,0
2419,4508.5,0
2420,4507.78,0
2421,4507.11,0
2422,4506.48,0
2423,4505.8,0
2424,4505.14,0
2425,4504.47,0
2426,4503.78,0
2427,4503.09,0
2428,4502.4,0
2429,4501.66,0
2430,4500.92,0
2431,4500.2,0
2432,4499.42,0
2433,4498.67,0
2434,4497.89,0
2435,4497.16,0
2436,4496.21,0
2437,4495.45,0
2438,4494.72,0
2439,4493.95,0
2440,4493.22,0
2441,4492.46,0
2442,4491.69,0
2443,4490.98,0
2444,4490.22,0
2445,4489.56,0
2446,4488.91,0
2447,4488.3,0
2448,4487.74,0
2449,4487.17,0
2450,4486.47,0
2451,4485.69,0
2452,4485.03,0
2453,4484.36,0
2454,4483.68,0
2455,4483.09,0
2456,4482.39,0
2457,4481.72,0
2458,4480.85,0
2459,4480.14,0
2460,4479.43,0
2461,4478.7,0
2462,4477.94,0
2463,4477.14,0
2464,4476.37,0
2465,4475.6,0
2466,4474.8,0
2467,4474.05,0
2468,4473.32,0
2469,4472.53,0
2470,4471.77,0
2471,4471.05,0
2472,4470.36,0
2473,4469.65,0
2474,4468.88,0
2475,4468.14,0
2476,4467.47,0
2477,4466.65,0
2478,4465.55,0
2479,4464.87,0
2480,4464.18,0
2481,4463.54,0
2482,4462.87,0
2483,4462.21,0
2484,4461.58,0
2485,4460.91,0
2486,4460.25,0
2487,4459.58,0
2488,4458.88,0
2489,4458.19,0
2490,4457.55,0
2491,4456.88,0
2492,4456.19,0
2493,4455.5,0
2494,4454.78,0
2495,4454.03,0
2496,4453.23,0
2497,4452.46,0
2498,4451.71,0
2499,4450.67,0
2500,4449.84,0
2501,4449.12,0
2502,4448.37,0
2503,4447.64,0
2504,4446.81,0
2505,4445.99,0
2506,4445.31,0
2507,4444.62,0
2508,4443.93,0
2509,4443.29,0
2510,4442.67,0
2511,4442.08,0
2512,4441.41,0
2513,4440.78,0
2514,4440.05,0
2515,4439.5,0
2516,4438.85,0
2517,4438.24,0
2518,4437.66,0
2519,4437.05,0
2520,4436.23,0
2521,4435.6,0
2522,4434.97,0
2523,4434.23,0
2524,4433.56,0
2525,4432.83,0
2526,4432.06,0
2527,4431.3,0
2528,4430.52,0
2529,4429.83,0
2530,4429.08,0
2531,4428.33,0
2532,4427.61,0
2533,4426.91,0
2534,4426.24,0
2535,4425.56,0
2536,4424.79,0
2537,4424.04,0
2538,4423.4,0
2539,4422.82,0
2540,4421.98,0
2541,4421.3,0
2542,4420.66,0
2543,4420.06,0
2544,4419.39,0
2545,4418.69,0
2546,4417.95,0
2547,4417.26,0
2548,4416.65,0
2549,4416.09,0
2550,4415.48,0
2551,4414.88,0
2552,4414.26,0
2553,4413.61,0
2554,4412.98,0
2555,4412.33,0
2556,4411.62,0
2557,4410.9,0
2558,4410.16,0
2559,4409.42,0
2560,4408.75,0
2561,4407.84,0
2562,4407.13,0
2563,4406.44,0
2564,4405.67,0
2565,4404.97,0
2566,4404.25,0
2567,4403.53,0
2568,4402.76,0
2569,4402.03,0
2570,4401.28,0
2571,4400.55,0
2572,4399.89,0
2573,4399.2,0
2574,4398.54,0
2575,4397.91,0
2576,4397.26,0
2577,4396.68,0
2578,4396.06,0
2579,4395.45,0
2580,4394.89,0
2581,4394.11,0
2582,4393.72,0
2583,4392.94,0
2584,4392.34,0
2585,4391.71,0
2586,4391.03,0
2587,4390.38,0
2588,4389.73,0
2589,4389.01,0
2590,4388.31,0
2591,4387.62,0
2592,4386.99,0
2593,4386.35,0
2594,4385.6,0
2595,4384.89,0
2596,4384.25,0
2597,4383.61,0
2598,4382.97,0
2599,4382.27,0
2600,4381.59,0
2601,4380.81,0
2602,4380.15,0
2603,4379.48,0
2604,4378.93,0
2605,4378.23,0
2606,4377.52,0
2607,4376.86,0
2608,4376.21,0
2609,4375.53,0
2610,4374.93,0
2611,4374.26,0
2612,4373.61,0
2613,4372.97,0
2614,4372.4,0
2615,4371.78,0
2616,4371.2,0
2617,4370.6,0
2618,4369.94,0
2619,4369.28,0
2620,4368.69,0
2621,4368,0
2622,4367.36,0
2623,4366.52,0
2624,4365.82,0
2625,4365.11,0
2626,4364.34,0
2627,4363.64,0
2628,4362.99,0
2629,4362.26,0
2630,4361.49,0
2631,4360.78,0
2632,4360.2,0
2633,4359.69,0
2634,4358.98,0
2635,4358.24,0
2636,4357.47,0
2637,4356.78,0
2638,4356.07,0
2639,4355.51,0
2640,4354.93,0
2641,4354.37,0
2642,4353.73,0
2643,4352.99,0
2644,4352.5,0
2645,4351.94,0
2646,4351.36,0
2647,4350.78,0
2648,4350.21,0
2649,4349.61,0
2650,4348.98,0
2651,4348.38,0
2652,4347.78,0
2653,4347.09,0
2654,4346.42,0
2655,4345.71,0
2656,4345.02,0
2657,4344.37,0
2658,4343.74,0
2659,4343.06,0
2660,4342.38,0
2661,4341.74,0
2662,4341.06,0
2663,4340.49,0
2664,4339.63,0
2665,4339.02,0
2666,4338.4,0
2667,4337.83,0
2668,4337.17,0
2669,4336.49,0
2670,4335.82,0
2671,4335.25,0
2672,4334.7,0
2673,4334.11,0
2674,4333.54,0
2675,4333.01,0
2676,4332.48,0
2677,4331.91,0
2678,4331.31,0
2679,4330.74,0
2680,4330.14,0
2681,4329.52,0
2682,4328.87,0
2683,4328.15,0
2684,4327.47,0
2685,4326.58,0
2686,4325.95,0
2687,4325.34,0
2688,4324.69,0
2689,4323.98,0
2690,4323.27,0
2691,4322.54,0
2692,4321.87,0
2693,4321.27,0
2694,4320.63,0
2695,4319.96,0
2696,4319.35,0
2697,4318.72,0
2698,4318.05,0
2699,4317.49,0
2700,4316.86,0
2701,4316.28,0
2702,4315.77,0
2703,4315.15,0
2704,4314.53,0
2705,4313.74,0
2706,4313.39,0
2707,4312.71,0
2708,4312.19,0
2709,4311.63,0
2710,4311.08,0
2711,4310.48,0
2712,4309.87,0
2713,4309.26,0
2714,4308.61,0
2715,4307.97,0
2716,4307.33,0
2717,4306.7,0
2718,4306.06,0
2719,4305.38,0
2720,4304.68,0
2721,4303.99,0
2722,4303.31,0
2723,4302.68,0
2724,4302.08,0
2725,4301.37,0
2726,4300.44,0
2727,4299.8,0
2728,4299.17,0
2729,4298.54,0
2730,4297.96,0
2731,4297.37,0
2732,4296.78,0
2733,4296.11,0
2734,4295.49,0
2735,4294.97,0
2736,4294.47,0
2737,4293.96,0
2738,4293.44,0
2739,4292.92,0
2740,4292.38,0
2741,4291.83,0
2742,4291.31,0
2743,4290.8,0
2744,4290.25,0
2745,4289.67,0
2746,4289.04,0
2747,4288.4,0
2748,4287.61,0
2749,4287,0
2750,4286.39,0
2751,4285.75,0
2752,4285.17,0
2753,4284.55,0
2754,4283.87,0
2755,4283.17,0
2756,4282.51,0
2757,4281.9,0
2758,4281.36,0
2759,4280.75,0
2760,4280.17,0
2761,4279.49,0
2762,4278.99,0
2763,4278.48,0
2764,4277.87,0
2765,4277.27,0
2766,4276.69,0
2767,4276.12,0
2768,4275.4,0
2769,4274.83,0
2770,4274.25,0
2771,4273.7,0
2772,4273.18,0
2773,4272.64,0
2774,4272.13,0
2775,4271.61,0
2776,4271.05,0
2777,4270.54,0
2778,4269.98,0
2779,4269.35,0
2780,4268.77,0
2781,4268.19,0
2782,4267.6,0
2783,4266.96,0
2784,4266.37,0
2785,4265.67,0
2786,4265.01,0
2787,4264.47,0
2788,4263.83,0
2789,4263.21,0
2790,4262.36,0
