time (s),Pressure (psi),Rate (bpm)
254,8989.07,9.9
255,8978.22,9.89
256,8970.27,9.89
257,8965.24,9.89
258,8968.06,9.89
259,8978.35,9.89
260,8979.59,9.9
261,8981.8,9.89
262,8990.47,9.89
263,8999.88,9.89
264,8982.48,9.89
265,8976.65,9.89
266,8983.93,9.9
267,8983.44,9.89
268,9010.8,9.9
269,8994.58,9.9
270,8995.61,9.9
271,8988.78,9.89
272,9010.89,9.89
273,9019.78,9.88
274,9026.64,9.89
275,9050.67,9.9
276,9042.96,9.89
277,9042.3,9.89
278,9038.56,9.89
279,9048.93,9.89
280,9039.8,9.89
281,9068.37,9.89
282,9065.59,9.89
283,9065.08,9.89
284,9067.61,9.88
285,9049.4,9.88
286,9048.46,9.89
287,9048.98,9.89
288,9086.16,9.89
289,9068.81,9.89
290,9047.79,9.89
291,9050.16,9.88
292,9050.14,9.88
293,9061.58,9.88
294,9062.06,9.88
295,9101.24,9.88
296,9081.84,9.88
297,9066.39,9.89
298,9067.71,9.89
299,9070.51,9.89
300,9084.84,9.89
301,9084.78,9.89
302,9108.18,9.89
303,9092.26,9.89
304,9085.62,9.89
305,9079.78,9.88
306,9071.13,9.88
307,9095.1,9.88
308,9108.11,9.88
309,9113.38,9.88
310,9097.58,9.88
311,9093.36,9.88
312,9075.81,9.88
313,9082.59,9.88
314,9099.99,9.88
315,9105.53,9.88
316,9126.66,9.88
317,9099.54,9.88
318,9113.23,9.88
319,9113.34,9.89
320,9121.92,9.87
321,9114.67,9.88
322,9151.82,9.88
323,9156.24,9.88
324,9131,9.88
325,9134.35,9.88
326,9119.4,9.87
327,9119.94,9.87
328,9129.26,9.88
329,9169.24,9.88
330,9153.31,9.88
331,9141.91,9.87
332,9140.8,9.87
333,9125.09,9.87
334,9138.33,9.87
335,9139.88,9.87
336,9174.69,9.87
337,9165.13,9.87
338,9146.86,9.87
339,9147.69,9.87
340,9155.97,9.88
341,9162.67,9.87
342,9163.3,9.88
343,9197.78,9.87
344,9180.08,9.87
345,9181.25,9.87
346,9173.92,9.87
347,9173.91,9.86
348,9165.75,9.86
349,9185.56,9.86
350,9217.92,9.86
351,9177.76,9.86
352,9181.26,9.86
353,9177.65,9.86
354,9188.68,9.87
355,9201.42,9.86
356,9212.27,9.86
357,9229.05,9.86
358,9182.26,9.86
359,9190.45,9.86
360,9191.45,9.86
361,9200.05,9.86
362,9185.97,9.86
363,9217.71,9.86
364,9242.7,9.86
365,9220.54,9.86
366,9220.83,9.86
367,9211.05,9.87
368,9222.47,9.86
369,9225.75,9.86
370,9250.18,9.86
371,9245.1,9.85
372,9229.02,9.86
373,9218.93,9.86
374,9214.81,9.85
375,9241.04,9.86
376,9234.13,9.86
377,9248.25,9.86
378,9247.54,9.86
379,9246.86,9.86
380,9241.63,9.85
381,9241.85,9.86
382,9241.08,9.86
383,9244.71,9.85
384,9261.77,9.85
385,9268.87,9.85
386,9276.57,9.85
387,9230.47,9.85
388,9232.4,9.85
389,9257.76,9.85
390,9259.63,9.85
391,9275.2,9.85
392,9255.98,9.85
393,9257.03,9.86
394,9245.79,9.85
395,9251.55,9.85
396,9252.66,9.85
397,9262.39,9.85
398,9264.9,9.85
399,9236.45,9.85
400,9258.36,9.85
401,9262.47,9.86
402,9263.95,9.86
403,9261.07,9.85
404,9309.09,9.85
405,9296.27,9.85
406,9277.27,9.86
407,9278.14,9.85
408,9269.32,9.86
409,9290.52,9.86
410,9283.93,9.86
411,9309.79,9.85
412,9315.99,9.85
413,9285.77,9.85
414,9277.9,9.86
415,9284.58,9.85
416,9318.74,9.86
417,9307.21,9.85
418,9316.06,9.85
419,9310.78,9.85
420,9309.45,9.85
421,9299.86,9.85
422,9269.37,9.86
423,9290.33,9.85
424,9297.24,9.85
425,9313.79,9.85
426,9300.08,9.86
427,9307.99,9.86
428,9298.38,9.86
429,9277.81,9.86
430,9290.6,9.86
431,9319.36,9.86
432,9356.36,9.86
433,9319.27,9.86
434,9313.96,9.85
435,9314.03,9.85
436,9328.94,9.85
437,9323.63,9.85
438,9328.9,9.85
439,9351,9.84
440,9333.03,9.85
441,9334.83,9.85
442,9324.01,9.85
443,9335.88,9.85
444,9324.2,9.84
445,9333.09,9.84
446,9328.72,9.85
447,9329.43,9.84
448,9325.97,9.85
449,9293.71,9.85
450,9313.74,9.84
451,9323.76,9.84
452,9354.5,9.85
453,9344.83,9.84
454,9321.9,9.84
455,9326.23,9.84
456,9327,9.84
457,9339.07,9.84
458,9331.55,9.85
459,9360.6,9.84
460,9363.2,9.84
461,9348.6,9.84
462,9341.21,9.84
463,9331.28,9.84
464,9346.89,9.84
465,9345.24,9.84
466,9363.68,9.84
467,9361.63,9.84
468,9357.1,9.84
469,9316.38,9.84
470,9316.29,9.85
471,9346.18,9.85
472,9373.22,9.85
473,9390.66,9.85
474,9360.18,9.85
475,9354.65,9.85
476,9355.37,9.85
477,9381.48,9.85
478,9388.91,9.85
479,9392.21,9.86
480,9393.16,9.86
481,9389.28,9.86
482,9396.89,9.85
483,9352.85,9.85
484,9349.2,9.85
485,9364.47,9.85
486,9415.48,9.84
487,9398.06,9.84
488,9390.6,9.84
489,9385.26,9.84
490,9370.89,9.84
491,9394.07,9.84
492,9386.47,9.84
493,9416.87,9.84
494,9405.28,9.84
495,9401.33,9.84
496,9390.5,9.84
497,9379.81,9.84
498,9387.36,9.84
499,9396.23,9.84
500,9423.86,9.84
501,9404.72,9.84
502,9406.24,9.84
503,9246.12,8.56
504,8685.67,0.52
505,8486.85,0.23
506,8320.3,0.14
507,8242.39,0.1
508,8159.95,0.08
509,8077.17,0.06
510,7998.07,0.04
511,8125.85,0.03
512,8262.48,0.02
513,8349.29,0.02
514,8398.61,0.01
515,8417.31,0.01
516,8426.33,0.01
517,8440.69,0.01
518,8446.5,0
519,8325.47,0
520,8244.82,0
521,8169.99,0
522,8141.33,0
523,8122.91,0
524,8109.35,0
525,8090.75,0
526,8100.05,0
527,8154.88,0
528,8190.93,0
529,8198.48,0
530,8203.36,0
531,8204.73,0
532,8205.8,0
533,8204.04,0
534,8141.45,0
535,8081.99,0
536,8044.48,0
537,8036.53,0
538,8029.84,0
539,8025.07,0
540,8019.01,0
541,8016.99,0
542,8025.11,0
543,8034.32,0
544,8043.05,0
545,8047.39,0
546,8048.17,0
547,8046.55,0
548,8042.46,0
549,8000.26,0
550,7981.55,0
551,7962.82,0
552,7954.97,0
553,7949.05,0
554,7945.42,0
555,7940.98,0
556,7939.03,0
557,7942.85,0
558,7946.85,0
559,7949.96,0
560,7949.35,0
561,7945.69,0
562,7939.85,0
563,7934.25,0
564,7912.41,0
565,7897.99,0
566,7887.85,0
567,7879.03,0
568,7872.94,0
569,7868.1,0
570,7864.34,0
571,7862.08,0
572,7862.95,0
573,7863.47,0
574,7863.05,0
575,7859.84,0
576,7854.18,0
577,7847,0
578,7840.48,0
579,7831.95,0
580,7822.27,0
581,7813.39,0
582,7805.85,0
583,7800.65,0
584,7797.28,0
585,7794.12,0
586,7790.8,0
587,7789.19,0
588,7787.54,0
589,7784.02,0
590,7779.19,0
591,7772.66,0
592,7765.12,0
593,7758.47,0
594,7751.13,0
595,7743.68,0
596,7737.06,0
597,7731.25,0
598,7727.28,0
599,7724.64,0
600,7721.93,0
601,7718.73,0
602,7716.08,0
603,7713.01,0
604,7709.26,0
605,7704.51,0
606,7698.49,0
607,7691.63,0
608,7685.57,0
609,7679.87,0
610,7674.16,0
611,7667.43,0
612,7663.18,0
613,7659.99,0
614,7657.5,0
615,7654.84,0
616,7651.42,0
617,7648.02,0
618,7644.12,0
619,7639.75,0
620,7634.82,0
621,7629.24,0
622,7623.37,0
623,7618.2,0
624,7613.56,0
625,7609.07,0
626,7604.97,0
627,7601.26,0
628,7598.01,0
629,7595.32,0
630,7592.55,0
631,7588.97,0
632,7583.85,0
633,7579.58,0
634,7575.08,0
635,7570.4,0
636,7565.38,0
637,7560.34,0
638,7556.06,0
639,7552.27,0
640,7548.58,0
641,7545.07,0
642,7541.72,0
643,7538.43,0
644,7535.29,0
645,7532.06,0
646,7528.16,0
647,7524.08,0
648,7519.87,0
649,7515.6,0
650,7511.33,0
651,7507.1,0
652,7501.55,0
653,7499.06,0
654,7494.48,0
655,7491.13,0
656,7487.88,0
657,7484.59,0
658,7481.22,0
659,7477.88,0
660,7474.43,0
661,7470.7,0
662,7466.88,0
663,7462.84,0
664,7458.9,0
665,7455.12,0
666,7451.47,0
667,7447.78,0
668,7444.23,0
669,7441,0
670,7437.81,0
671,7434.62,0
672,7431.32,0
673,7427.94,0
674,7423.48,0
675,7420.01,0
676,7416.35,0
677,7412.63,0
678,7408.92,0
679,7405.33,0
680,7401.83,0
681,7398.36,0
682,7394.94,0
683,7391.57,0
684,7388.3,0
685,7385.02,0
686,7381.68,0
687,7378.26,0
688,7374.8,0
689,7371.45,0
690,7368.13,0
691,7364.58,0
692,7361.08,0
693,7357.7,0
694,7354.31,0
695,7350.05,0
696,7346.91,0
697,7343.71,0
698,7340.58,0
699,7337.41,0
700,7334.22,0
701,7331.05,0
702,7327.82,0
703,7324.57,0
704,7321.28,0
705,7318.06,0
706,7314.79,0
707,7311.53,0
708,7308.33,0
709,7305.17,0
710,7302.07,0
711,7298.93,0
712,7295.72,0
713,7292.41,0
714,7289.14,0
715,7285.88,0
716,7282.59,0
717,7279.22,0
718,7275.94,0
719,7272.74,0
720,7269.47,0
721,7266.24,0
722,7263.05,0
723,7259.84,0
724,7256.67,0
725,7253.62,0
726,7250.52,0
727,7247.43,0
728,7244.31,0
729,7241.32,0
730,7238.29,0
731,7234.25,0
732,7231.19,0
733,7228.07,0
734,7225.06,0
735,7222.01,0
736,7218.89,0
737,7215.83,0
738,7212.74,0
739,7209.59,0
740,7206.54,0
741,7203.49,0
742,7200.44,0
743,7197.3,0
744,7194.19,0
745,7191.1,0
746,7188.04,0
747,7184.97,0
748,7181.97,0
749,7178.95,0
750,7175.86,0
751,7172.91,0
752,7168.98,0
753,7165.95,0
754,7162.91,0
755,7159.94,0
756,7157,0
757,7154.05,0
758,7151.08,0
759,7148.12,0
760,7145.02,0
761,7141.97,0
762,7138.97,0
763,7136.01,0
764,7133.03,0
765,7130.09,0
766,7127.13,0
767,7124.2,0
768,7121.29,0
769,7118.38,0
770,7115.45,0
771,7112.5,0
772,7109.53,0
773,7105.57,0
774,7102.57,0
775,7099.64,0
776,7096.65,0
777,7093.7,0
778,7090.77,0
779,7087.85,0
780,7084.94,0
781,7081.94,0
782,7079.03,0
783,7076.09,0
784,7073.14,0
785,7070.23,0
786,7067.38,0
787,7064.53,0
788,7061.68,0
789,7058.81,0
790,7055.94,0
791,7053.11,0
792,7049.26,0
793,7046.41,0
794,7043.47,0
795,7040.62,0
796,7037.83,0
797,7035.01,0
798,7032.18,0
799,7029.35,0
800,7026.57,0
801,7023.82,0
802,7021.04,0
803,7018.19,0
804,7015.4,0
805,7012.52,0
806,7009.66,0
807,7006.84,0
808,7004.03,0
809,7001.22,0
810,6998.37,0
811,6995.55,0
812,6992.75,0
813,6988.99,0
814,6986.12,0
815,6983.3,0
816,6980.43,0
817,6977.5,0
818,6974.61,0
819,6971.78,0
820,6968.95,0
821,6966.15,0
822,6963.41,0
823,6960.63,0
824,6957.79,0
825,6955.03,0
826,6952.27,0
827,6949.54,0
828,6946.73,0
829,6943.92,0
830,6941.22,0
831,6938.49,0
832,6935.8,0
833,6932.15,0
834,6929.4,0
835,6926.59,0
836,6923.8,0
837,6921.05,0
838,6918.25,0
839,6915.43,0
840,6912.56,0
841,6909.71,0
842,6906.96,0
843,6905.12,0
844,6902.29,0
845,6899.44,0
846,6896.54,0
847,6893.61,0
848,6890.77,0
849,6887.12,0
850,6884.37,0
851,6881.6,0
852,6878.77,0
853,6876,0
854,6873.34,0
855,6870.7,0
856,6868.01,0
857,6865.26,0
858,6862.54,0
859,6859.83,0
860,6857.14,0
861,6854.43,0
862,6851.75,0
863,6848.99,0
864,6846.27,0
865,6843.53,0
866,6840.81,0
867,6838.11,0
868,6835.33,0
869,6832.59,0
870,6828.95,0
871,6826.2,0
872,6823.48,0
873,6820.74,0
874,6817.98,0
875,6815.19,0
876,6812.43,0
877,6809.66,0
878,6806.88,0
879,6804.06,0
880,6801.32,0
881,6798.59,0
882,6795.84,0
883,6793.09,0
884,6790.35,0
885,6787.69,0
886,6785.09,0
887,6782.45,0
888,6779.75,0
889,6777.05,0
890,6774.43,0
891,6770.9,0
892,6768.31,0
893,6765.69,0
894,6763.05,0
895,6760.41,0
896,6757.73,0
897,6755.07,0
898,6752.4,0
899,6749.69,0
900,6746.94,0
901,6744.25,0
902,6741.56,0
903,6738.95,0
904,6736.28,0
905,6733.55,0
906,6730.85,0
907,6728.16,0
908,6725.49,0
909,6722.8,0
910,6720.09,0
911,6717.37,0
912,6713.78,0
913,6711,0
914,6708.29,0
915,6705.59,0
916,6702.93,0
917,6700.31,0
918,6697.6,0
919,6694.94,0
920,6693.27,0
921,6690.68,0
922,6687.04,0
923,6684.41,0
924,6681.73,0
925,6679.1,0
926,6676.52,0
927,6673.9,0
928,6671.28,0
929,6668.64,0
930,6666.01,0
931,6663.37,0
932,6660.77,0
933,6658.1,0
934,6655.44,0
935,6652.74,0
936,6650.05,0
937,6647.4,0
938,6644.8,0
939,6642.2,0
940,6639.58,0
941,6636.86,0
942,6633.22,0
943,6630.5,0
944,6627.89,0
945,6625.3,0
946,6622.76,0
947,6620.19,0
948,6617.59,0
949,6614.95,0
950,6612.33,0
951,6609.77,0
952,6607.17,0
953,6604.62,0
954,6602.09,0
955,6599.52,0
956,6597.02,0
957,6594.44,0
958,6591.88,0
959,6589.33,0
960,6586.8,0
961,6584.29,0
962,6581.77,0
963,6579.16,0
964,6576.59,0
965,6573.04,0
966,6570.46,0
967,6567.87,0
968,6565.3,0
969,6562.71,0
970,6560.03,0
971,6557.38,0
972,6554.73,0
973,6552.15,0
974,6549.56,0
975,6547.01,0
976,6544.46,0
977,6541.89,0
978,6539.28,0
979,6536.71,0
980,6534.13,0
981,6531.63,0
982,6528.25,0
983,6525.75,0
984,6523.21,0
985,6520.71,0
986,6518.28,0
987,6515.79,0
988,6513.33,0
989,6510.86,0
990,6508.35,0
991,6505.84,0
992,6503.28,0
993,6500.77,0
994,6498.25,0
995,6495.67,0
996,6493.18,0
997,6490.7,0
998,6488.16,0
999,6485.62,0
1000,6483.03,0
1001,6480.48,0
1002,6477.89,0
1003,6475.33,0
1004,6472.01,0
1005,6469.53,0
1006,6467.08,0
1007,6464.55,0
1008,6462.02,0
1009,6459.55,0
1010,6457.1,0
1011,6454.53,0
1012,6452,0
1013,6449.56,0
1014,6447.02,0
1015,6444.5,0
1016,6441.97,0
1017,6439.5,0
1018,6437.06,0
1019,6434.61,0
1020,6432.19,0
1021,6429.74,0
1022,6427.32,0
1023,6424.88,0
1024,6422.4,0
1025,6419.92,0
1026,6417.52,0
1027,6415.08,0
1028,6412.58,0
1029,6410.02,0
1030,6407.45,0
1031,6404.92,0
1032,6402.37,0
1033,6399.83,0
1034,6397.34,0
1035,6394.87,0
1036,6392.44,0
1037,6389.92,0
1038,6386.62,0
1039,6384.16,0
1040,6381.68,0
1041,6379.21,0
1042,6376.82,0
1043,6374.39,0
1044,6371.92,0
1045,6369.5,0
1046,6367.08,0
1047,6364.71,0
1048,6362.35,0
1049,6360.05,0
1050,6357.73,0
1051,6355.39,0
1052,6353.1,0
1053,6350.8,0
